CH1,CH2
2,0
2,0
2,0
1,0
1,0
2,0
1,0
0,0
1,0
2,0
2,0
2,0
0,0
4,0
7,0
8,0
3,0
0,0
5,0
9,0
10,0
8,0
6,0
4,0
4,0
4,0
4,0
3,0
1,0
0,0
0,0
0,0
2,0
1,0
0,0
0,0
